type,conservador,moderado,sofisticado,date
posfixado,70.00,35.00,15.00,25-03
inflacao,17.50,27.50,32.50,25-03
prefixado,0.00,5.00,2.50,25-03
multimercados,5.00,16.50,12.50,25-03
renda_var_br,0.00,5.00,15.00,25-03
fundos,2.50,2.00,8.00,25-03
alternativos,0.00,3.00,7.00,25-03
renda_fixa_global,2.50,2.50,2.50,25-03
renda_var_global,2.50,3.50,5.00,25-03
posfixado,70.00,35.00,15.00,25-02
inflacao,17.50,27.50,32.50,25-02
prefixado,0.00,5.00,2.50,25-02
multimercados,5.00,16.50,12.50,25-02
renda_var_br,0.00,5.00,15.00,25-02
fundos,2.50,2.00,8.00,25-02
alternativos,0.00,3.00,7.00,25-02
renda_fixa_global,2.50,2.50,2.50,25-02
renda_var_global,2.50,3.50,5.00,25-02
posfixado,70.00,35.00,15.00,25-01
inflacao,17.50,27.50,32.50,25-01
prefixado,0.00,5.00,2.50,25-01
multimercados,5.00,16.50,12.50,25-01
renda_var_br,0.00,5.00,15.00,25-01
fundos,2.50,2.00,8.00,25-01
alternativos,0.00,3.00,7.00,25-01
renda_fixa_global,2.50,2.50,2.50,25-01
renda_var_global,2.50,3.50,5.00,25-01
posfixado,67.50,32.50,12.50,24-12
inflacao,17.50,27.50,32.50,24-12
prefixado,2.50,7.50,5.00,24-12
multimercados,5.00,16.50,12.50,24-12
renda_var_br,0.00,5.00,15.00,24-12
fundos,2.50,2.00,8.00,24-12
alternativos,0.00,3.00,7.00,24-12
renda_fixa_global,2.50,2.50,2.50,24-12
renda_var_global,2.50,3.50,5.00,24-12
posfixado,67.50,35.00,15.00,24-11
inflacao,17.50,25.00,30.00,24-11
prefixado,2.50,7.50,5.00,24-11
multimercados,5.00,16.50,12.50,24-11
renda_var_br,0.00,5.00,15.00,24-11
fundos,2.50,2.00,8.00,24-11
alternativos,0.00,3.00,7.00,24-11
renda_fixa_global,2.50,2.50,2.50,24-11
renda_var_global,2.50,3.50,5.00,24-11
posfixado,67.50,35.00,15.00,24-10
inflacao,17.50,25.00,30.00,24-10
prefixado,2.50,7.50,5.00,24-10
multimercados,2.50,14.00,10.00,24-10
renda_var_br,0.00,5.00,15.00,24-10
fundos,5.00,4.50,10.50,24-10
alternativos,0.00,3.00,7.00,24-10
renda_fixa_global,2.50,2.50,2.50,24-10
renda_var_global,2.50,3.50,5.00,24-10
posfixado,67.50,35.00,15.00,24-09
inflacao,17.50,25.00,30.00,24-09
prefixado,2.50,7.50,5.00,24-09
multimercados,2.50,14.00,10.00,24-09
renda_var_br,0.00,5.00,15.00,24-09
fundos,5.00,4.50,10.50,24-09
alternativos,0.00,3.00,7.00,24-09
renda_fixa_global,2.50,2.50,2.50,24-09
renda_var_global,2.50,3.50,5.00,24-09
posfixado,67.50,32.50,12.50,24-08
inflacao,17.50,22.50,27.50,24-08
prefixado,2.50,10.00,7.50,24-08
multimercados,2.50,14.00,10.00,24-08
renda_var_br,0.00,7.50,17.50,24-08
fundos,5.00,4.50,10.50,24-08
alternativos,0.00,3.00,7.00,24-08
renda_fixa_global,2.50,2.50,2.50,24-08
renda_var_global,2.50,3.50,5.00,24-08
posfixado,70.00,35.00,15.00,24-07
inflacao,15.00,20.00,25.00,24-07
prefixado,2.50,10.00,7.50,24-07
multimercados,2.50,14.00,10.00,24-07
renda_var_br,0.00,7.50,17.50,24-07
fundos,5.00,4.50,10.50,24-07
alternativos,0.00,3.00,7.00,24-07
renda_fixa_global,5.00,5.00,2.50,24-07
renda_var_global,0.00,1.00,5.00,24-07
posfixado,70.00,35.00,15.00,24-06
inflacao,15.00,20.00,25.00,24-06
prefixado,2.50,10.00,7.50,24-06
multimercados,2.50,14.00,10.00,24-06
renda_var_br,0.00,5.00,15.00,24-06
fundos,5.00,7.00,13.00,24-06
alternativos,0.00,3.00,7.00,24-06
renda_fixa_global,5.00,5.00,2.50,24-06
renda_var_global,0.00,1.00,5.00,24-06
posfixado,70.00,35.00,15.00,24-05
inflacao,15.00,20.00,25.00,24-05
prefixado,2.50,10.00,7.50,24-05
multimercados,2.50,14.00,10.00,24-05
renda_var_br,0.00,5.00,15.00,24-05
fundos,5.00,7.00,13.00,24-05
alternativos,0.00,3.00,7.00,24-05
renda_fixa_global,5.00,5.00,2.50,24-05
renda_var_global,0.00,1.00,5.00,24-05
posfixado,65.00,7.00,0.00,24-04
inflacao,10.00,18.00,14.00,24-04
prefixado,3.00,3.00,2.00,24-04
multimercados,11.00,25.00,16.00,24-04
renda_var_br,2.00,13.33,25.33,24-04
fundos,1.00,6.67,12.67,24-04
alternativos,2.00,10.00,12.00,24-04
renda_fixa_global,6.00,8.00,6.00,24-04
renda_var_global,0.00,9.00,12.00,24-04
posfixado,65.00,7.00,0.00,24-03
inflacao,10.00,18.00,14.00,24-03
prefixado,3.00,3.00,2.00,24-03
multimercados,11.00,25.00,16.00,24-03
renda_var_br,2.00,13.33,25.33,24-03
fundos,1.00,6.67,12.67,24-03
alternativos,2.00,10.00,12.00,24-03
renda_fixa_global,6.00,8.00,6.00,24-03
renda_var_global,0.00,9.00,12.00,24-03
posfixado,65.00,7.00,0.00,24-02
inflacao,10.00,18.00,14.00,24-02
prefixado,3.00,3.00,2.00,24-02
multimercados,11.00,25.00,16.00,24-02
renda_var_br,2.00,13.33,25.33,24-02
fundos,1.00,6.67,12.67,24-02
alternativos,2.00,10.00,12.00,24-02
renda_fixa_global,6.00,8.00,6.00,24-02
renda_var_global,0.00,9.00,12.00,24-02
posfixado,69.00,9.00,0.00,24-01
inflacao,7.00,18.00,14.00,24-01
prefixado,3.00,3.00,2.00,24-01
multimercados,10.00,23.00,16.00,24-01
renda_var_br,2.00,13.33,25.33,24-01
fundos,1.00,6.67,12.67,24-01
alternativos,2.00,10.00,12.00,24-01
renda_fixa_global,6.00,8.00,6.00,24-01
renda_var_global,0.00,9.00,12.00,24-01
posfixado,69.00,9.00,0.00,23-12
inflacao,7.00,18.00,14.00,23-12
prefixado,3.00,3.00,2.00,23-12
multimercados,10.00,23.00,16.00,23-12
renda_var_br,2.00,13.33,25.33,23-12
fundos,1.00,6.67,12.67,23-12
alternativos,2.00,10.00,12.00,23-12
renda_fixa_global,6.00,8.00,6.00,23-12
renda_var_global,0.00,9.00,12.00,23-12
posfixado,69.00,9.00,0.00,23-11
inflacao,6.00,17.00,12.00,23-11
prefixado,5.00,6.00,7.00,23-11
multimercados,10.00,21.00,14.00,23-11
renda_var_br,2.00,16.00,26.67,23-11
fundos,1.00,8.00,13.33,23-11
alternativos,2.00,7.00,9.00,23-11
renda_fixa_global,5.00,7.00,6.00,23-11
renda_var_global,0.00,9.00,12.00,23-11
posfixado,69.00,9.00,0.00,23-10
inflacao,6.00,17.00,12.00,23-10
prefixado,5.00,6.00,7.00,23-10
multimercados,10.00,21.00,14.00,23-10
renda_var_br,2.00,16.00,26.67,23-10
fundos,1.00,8.00,13.33,23-10
alternativos,2.00,7.00,9.00,23-10
renda_fixa_global,5.00,7.00,6.00,23-10
renda_var_global,0.00,9.00,12.00,23-10
posfixado,69.00,9.00,0.00,23-09
inflacao,6.00,17.00,12.00,23-09
prefixado,5.00,6.00,7.00,23-09
multimercados,10.00,21.00,14.00,23-09
renda_var_br,2.00,16.00,26.67,23-09
fundos,1.00,8.00,13.33,23-09
alternativos,2.00,7.00,9.00,23-09
renda_fixa_global,5.00,7.00,6.00,23-09
renda_var_global,0.00,9.00,12.00,23-09
posfixado,69.00,9.00,0.00,23-08
inflacao,6.00,17.00,12.00,23-08
prefixado,5.00,6.00,7.00,23-08
multimercados,10.00,21.00,14.00,23-08
renda_var_br,2.00,16.00,26.67,23-08
fundos,1.00,8.00,13.33,23-08
alternativos,2.00,7.00,9.00,23-08
renda_fixa_global,5.00,7.00,6.00,23-08
renda_var_global,0.00,9.00,12.00,23-08
posfixado,73.00,9.00,0.00,23-07
inflacao,6.00,17.00,12.00,23-07
prefixado,5.00,6.00,7.00,23-07
multimercados,11.00,25.00,14.00,23-07
renda_var_br,1.00,14.67,26.67,23-07
fundos,0.00,7.33,13.33,23-07
alternativos,1.00,5.00,7.00,23-07
renda_fixa_global,3.00,7.00,6.00,23-07
renda_var_global,0.00,9.00,14.00,23-07
posfixado,75.00,6.00,3.00,23-06
inflacao,6.00,16.00,10.00,23-06
prefixado,3.00,7.00,2.00,23-06
multimercados,11.00,22.00,10.00,23-06
renda_var_br,1.00,16.00,33.33,23-06
fundos,0.00,8.00,16.67,23-06
alternativos,1.00,5.00,6.00,23-06
renda_fixa_global,3.00,8.00,3.00,23-06
renda_var_global,0.00,12.00,16.00,23-06
