date,ipca,selic,cambio
23-02,5.70,13.75,5.30
23-03,5.50,13.75,5.30
23-04,6.20,11.00,5.30
23-05,6.20,11.00,5.30
23-06,5.40,12.00,5.00
23-07,4.10,10.50,5.15
23-08,3.90,10.00,4.85
23-09,3.90,10.00,4.85
23-10,3.90,10.00,4.85
23-11,3.90,10.00,4.85
23-12,4.10,10.00,4.80
24-01,3.70,9.00,4.70
24-02,3.70,9.00,4.70
24-03,3.50,9.00,4.70
24-04,3.50,9.00,4.70
24-05,3.70,10.00,5.00
24-06,3.70,10.50,5.00
24-07,4.30,10.50,5.40
24-08,4.30,10.50,5.40
24-09,4.00,12.00,5.40
24-10,4.10,12.00,5.40
24-11,4.70,12.25,5.50
24-12,5.20,13.25,5.85
25-01,6.10,15.50,6.20
25-02,6.10,15.50,6.20
25-03,6.00,15.50,6.00
