date,type,conservador_delta,moderado_delta,sofisticado_delta
23-06,alternativos,,,
23-07,alternativos,0.0,0.0,1.0
23-08,alternativos,1.0,2.0,2.0
23-09,alternativos,0.0,0.0,0.0
23-10,alternativos,0.0,0.0,0.0
23-11,alternativos,0.0,0.0,0.0
23-12,alternativos,0.0,3.0,3.0
24-01,alternativos,0.0,0.0,0.0
24-02,alternativos,0.0,0.0,0.0
24-03,alternativos,0.0,0.0,0.0
24-04,alternativos,0.0,0.0,0.0
24-05,alternativos,-2.0,-7.0,-5.0
24-06,alternativos,0.0,0.0,0.0
24-07,alternativos,0.0,0.0,0.0
24-08,alternativos,0.0,0.0,0.0
24-09,alternativos,0.0,0.0,0.0
24-10,alternativos,0.0,0.0,0.0
24-11,alternativos,0.0,0.0,0.0
24-12,alternativos,0.0,0.0,0.0
25-01,alternativos,0.0,0.0,0.0
25-02,alternativos,0.0,0.0,0.0
25-03,alternativos,0.0,0.0,0.0
23-06,fundos,,,
23-07,fundos,0.0,-0.67,-3.34
23-08,fundos,1.0,0.67,0.0
23-09,fundos,0.0,0.0,0.0
23-10,fundos,0.0,0.0,0.0
23-11,fundos,0.0,0.0,0.0
23-12,fundos,0.0,-1.33,-0.66
24-01,fundos,0.0,0.0,0.0
24-02,fundos,0.0,0.0,0.0
24-03,fundos,0.0,0.0,0.0
24-04,fundos,0.0,0.0,0.0
24-05,fundos,4.0,0.33,0.33
24-06,fundos,0.0,0.0,0.0
24-07,fundos,0.0,-2.5,-2.5
24-08,fundos,0.0,0.0,0.0
24-09,fundos,0.0,0.0,0.0
24-10,fundos,0.0,0.0,0.0
24-11,fundos,-2.5,-2.5,-2.5
24-12,fundos,0.0,0.0,0.0
25-01,fundos,0.0,0.0,0.0
25-02,fundos,0.0,0.0,0.0
25-03,fundos,0.0,0.0,0.0
23-06,inflacao,,,
23-07,inflacao,0.0,1.0,2.0
23-08,inflacao,0.0,0.0,0.0
23-09,inflacao,0.0,0.0,0.0
23-10,inflacao,0.0,0.0,0.0
23-11,inflacao,0.0,0.0,0.0
23-12,inflacao,1.0,1.0,2.0
24-01,inflacao,0.0,0.0,0.0
24-02,inflacao,3.0,0.0,0.0
24-03,inflacao,0.0,0.0,0.0
24-04,inflacao,0.0,0.0,0.0
24-05,inflacao,5.0,2.0,11.0
24-06,inflacao,0.0,0.0,0.0
24-07,inflacao,0.0,0.0,0.0
24-08,inflacao,2.5,2.5,2.5
24-09,inflacao,0.0,2.5,2.5
24-10,inflacao,0.0,0.0,0.0
24-11,inflacao,0.0,0.0,0.0
24-12,inflacao,0.0,2.5,2.5
25-01,inflacao,0.0,0.0,0.0
25-02,inflacao,0.0,0.0,0.0
25-03,inflacao,0.0,0.0,0.0
23-06,multimercados,,,
23-07,multimercados,0.0,3.0,4.0
23-08,multimercados,-1.0,-4.0,0.0
23-09,multimercados,0.0,0.0,0.0
23-10,multimercados,0.0,0.0,0.0
23-11,multimercados,0.0,0.0,0.0
23-12,multimercados,0.0,2.0,2.0
24-01,multimercados,0.0,0.0,0.0
24-02,multimercados,1.0,2.0,0.0
24-03,multimercados,0.0,0.0,0.0
24-04,multimercados,0.0,0.0,0.0
24-05,multimercados,-8.5,-11.0,-6.0
24-06,multimercados,0.0,0.0,0.0
24-07,multimercados,0.0,0.0,0.0
24-08,multimercados,0.0,0.0,0.0
24-09,multimercados,0.0,0.0,0.0
24-10,multimercados,0.0,0.0,0.0
24-11,multimercados,2.5,2.5,2.5
24-12,multimercados,0.0,0.0,0.0
25-01,multimercados,0.0,0.0,0.0
25-02,multimercados,0.0,0.0,0.0
25-03,multimercados,0.0,0.0,0.0
23-06,posfixado,,,
23-07,posfixado,-2.0,3.0,-3.0
23-08,posfixado,-4.0,0.0,0.0
23-09,posfixado,0.0,0.0,0.0
23-10,posfixado,0.0,0.0,0.0
23-11,posfixado,0.0,0.0,0.0
23-12,posfixado,0.0,0.0,0.0
24-01,posfixado,0.0,0.0,0.0
24-02,posfixado,-4.0,-2.0,0.0
24-03,posfixado,0.0,0.0,0.0
24-04,posfixado,0.0,0.0,0.0
24-05,posfixado,5.0,28.0,15.0
24-06,posfixado,0.0,0.0,0.0
24-07,posfixado,0.0,0.0,0.0
24-08,posfixado,-2.5,-2.5,-2.5
24-09,posfixado,0.0,2.5,2.5
24-10,posfixado,0.0,0.0,0.0
24-11,posfixado,0.0,0.0,0.0
24-12,posfixado,0.0,-2.5,-2.5
25-01,posfixado,2.5,2.5,2.5
25-02,posfixado,0.0,0.0,0.0
25-03,posfixado,0.0,0.0,0.0
23-06,prefixado,,,
23-07,prefixado,2.0,-1.0,5.0
23-08,prefixado,0.0,0.0,0.0
23-09,prefixado,0.0,0.0,0.0
23-10,prefixado,0.0,0.0,0.0
23-11,prefixado,0.0,0.0,0.0
23-12,prefixado,-2.0,-3.0,-5.0
24-01,prefixado,0.0,0.0,0.0
24-02,prefixado,0.0,0.0,0.0
24-03,prefixado,0.0,0.0,0.0
24-04,prefixado,0.0,0.0,0.0
24-05,prefixado,-0.5,7.0,5.5
24-06,prefixado,0.0,0.0,0.0
24-07,prefixado,0.0,0.0,0.0
24-08,prefixado,0.0,0.0,0.0
24-09,prefixado,0.0,-2.5,-2.5
24-10,prefixado,0.0,0.0,0.0
24-11,prefixado,0.0,0.0,0.0
24-12,prefixado,0.0,0.0,0.0
25-01,prefixado,-2.5,-2.5,-2.5
25-02,prefixado,0.0,0.0,0.0
25-03,prefixado,0.0,0.0,0.0
23-06,renda_fixa_global,,,
23-07,renda_fixa_global,0.0,-1.0,3.0
23-08,renda_fixa_global,2.0,0.0,0.0
23-09,renda_fixa_global,0.0,0.0,0.0
23-10,renda_fixa_global,0.0,0.0,0.0
23-11,renda_fixa_global,0.0,0.0,0.0
23-12,renda_fixa_global,1.0,1.0,0.0
24-01,renda_fixa_global,0.0,0.0,0.0
24-02,renda_fixa_global,0.0,0.0,0.0
24-03,renda_fixa_global,0.0,0.0,0.0
24-04,renda_fixa_global,0.0,0.0,0.0
24-05,renda_fixa_global,-1.0,-3.0,-3.5
24-06,renda_fixa_global,0.0,0.0,0.0
24-07,renda_fixa_global,0.0,0.0,0.0
24-08,renda_fixa_global,-2.5,-2.5,0.0
24-09,renda_fixa_global,0.0,0.0,0.0
24-10,renda_fixa_global,0.0,0.0,0.0
24-11,renda_fixa_global,0.0,0.0,0.0
24-12,renda_fixa_global,0.0,0.0,0.0
25-01,renda_fixa_global,0.0,0.0,0.0
25-02,renda_fixa_global,0.0,0.0,0.0
25-03,renda_fixa_global,0.0,0.0,0.0
23-06,renda_var_br,,,
23-07,renda_var_br,0.0,-1.33,-6.66
23-08,renda_var_br,1.0,1.33,0.0
23-09,renda_var_br,0.0,0.0,0.0
23-10,renda_var_br,0.0,0.0,0.0
23-11,renda_var_br,0.0,0.0,0.0
23-12,renda_var_br,0.0,-2.67,-1.34
24-01,renda_var_br,0.0,0.0,0.0
24-02,renda_var_br,0.0,0.0,0.0
24-03,renda_var_br,0.0,0.0,0.0
24-04,renda_var_br,0.0,0.0,0.0
24-05,renda_var_br,-2.0,-8.33,-10.33
24-06,renda_var_br,0.0,0.0,0.0
24-07,renda_var_br,0.0,2.5,2.5
24-08,renda_var_br,0.0,0.0,0.0
24-09,renda_var_br,0.0,-2.5,-2.5
24-10,renda_var_br,0.0,0.0,0.0
24-11,renda_var_br,0.0,0.0,0.0
24-12,renda_var_br,0.0,0.0,0.0
25-01,renda_var_br,0.0,0.0,0.0
25-02,renda_var_br,0.0,0.0,0.0
25-03,renda_var_br,0.0,0.0,0.0
23-06,renda_var_global,,,
23-07,renda_var_global,0.0,-3.0,-2.0
23-08,renda_var_global,0.0,0.0,-2.0
23-09,renda_var_global,0.0,0.0,0.0
23-10,renda_var_global,0.0,0.0,0.0
23-11,renda_var_global,0.0,0.0,0.0
23-12,renda_var_global,0.0,0.0,0.0
24-01,renda_var_global,0.0,0.0,0.0
24-02,renda_var_global,0.0,0.0,0.0
24-03,renda_var_global,0.0,0.0,0.0
24-04,renda_var_global,0.0,0.0,0.0
24-05,renda_var_global,0.0,-8.0,-7.0
24-06,renda_var_global,0.0,0.0,0.0
24-07,renda_var_global,0.0,0.0,0.0
24-08,renda_var_global,2.5,2.5,0.0
24-09,renda_var_global,0.0,0.0,0.0
24-10,renda_var_global,0.0,0.0,0.0
24-11,renda_var_global,0.0,0.0,0.0
24-12,renda_var_global,0.0,0.0,0.0
25-01,renda_var_global,0.0,0.0,0.0
25-02,renda_var_global,0.0,0.0,0.0
25-03,renda_var_global,0.0,0.0,0.0
